"FirstName","LastName","Jersey","TeamName","TeamAbbreviation","Club","Division","Country","Games","Assists","Goals","Callahans","Total"
"Christian","Kouame","10","Italy","ITA",,"Mixed","Italy","12","4","8","0","12"
"Andrea","Leonardi","20","Italy","ITA",,"Men","Italy","14","8","5","0","13"
"Davide","Morri","12","Italy","ITA",,"Mixed","Italy","12","22","0","0","22"
"Nicola","Possi","66","Italy","ITA",,"Mixed","Italy","12","2","8","0","10"
"Silvia","Rizzi","25","Italy","ITA",,"Mixed","Italy","12","1","2","0","3"
"Salini","Samuel","5","Italy","ITA",,"Men","Italy","14","5","16","0","21"
"Federico","Sapucci","44","Italy","ITA",,"Mixed","Italy","12","5","3","0","8"
"Beatrice","Sisana","97","Italy","ITA",,"Mixed","Italy","12","0","4","0","4"
"KANA","AKAZAWA","25","Japan","JPN",,"Mixed","Japan","12","6","5","0","11"
"LEVI","BOOTH","47","Japan","JPN",,"Master Mixed","Japan","13","4","8","0","12"
"MITSUNORI","EHARA","16","Japan","JPN",,"GrandMaster Men","Japan","10","20","8","0","28"
"MAX SAMUEL","FRIEDMAN","29","Japan","JPN",,"Mixed","Japan","12","3","2","0","5"
"RISAKO","FUJITA","73","Japan","JPN",,"Mixed","Japan","12","0","1","0","1"
"HUI FANG","GAO","7","Japan","JPN",,"Master Mixed","Japan","13","0","0","0","0"
"WESLEY STEVEN","GROTH","22","Japan","JPN",,"Mixed","Japan","12","28","6","0","34"
"HIROKI","HARADA","18","Japan","JPN",,"GrandMaster Men","Japan","10","2","0","0","2"
"DOUG","HEIMBURGER","41","Japan","JPN",,"Master Mixed","Japan","13","0","0","0","0"
"YUSUKE","HIRANO","22","Japan","JPN",,"Men","Japan","13","3","5","0","8"
"SHIGEMASA","HIROKI","14","Japan","JPN",,"GrandMaster Men","Japan","3","0","0","0","0"
"ERIC BRADFORD","HORA","44","Japan","JPN",,"Men","Japan","13","0","2","0","2"
"SATORU","ISHII","20","Japan","JPN",,"Men","Japan","13","4","2","0","6"
"YUKARI","ISHIKAWA","3","Japan","JPN",,"Mixed","Japan","12","2","7","0","9"
"YOICHI","ISHINO","7","Japan","JPN",,"Mixed","Japan","12","7","11","0","18"
"TAKUEI","IWAMA","51","Japan","JPN",,"GrandMaster Men","Japan","10","9","5","0","14"
"NAMIKO","KAITO","16","Japan","JPN",,"Master Mixed","Japan","13","2","3","0","5"
"DAIGO","KAJIWARA","21","Japan","JPN",,"Mixed","Japan","12","15","4","0","19"
"HIROSHI","KAMITAMARI","10","Japan","JPN",,"Mixed","Japan","12","20","15","0","35"
"SAKON","KIMURA","18","Japan","JPN",,"Mixed","Japan","12","0","7","0","7"
"UKON","KIMURA","28","Japan","JPN",,"Mixed","Japan","12","2","3","0","5"
"RYO","KOMODA","7","Japan","JPN",,"Men","Japan","13","2","2","0","4"
"SHUN","KONDO","21","Japan","JPN",,"Men","Japan","13","8","8","0","16"
"KATSUYOSHI","KUBOSHIMA","4","Japan","JPN",,"GrandMaster Men","Japan","10","7","6","0","13"
"TAKAHIRO","KUSE","2","Japan","JPN",,"Men","Japan","13","24","8","0","32"
"PETER","LIANG","24","Japan","JPN",,"Master Mixed","Japan","13","2","8","0","10"
"EMI","MAEKAWA","11","Japan","JPN",,"Mixed","Japan","12","2","9","0","11"
"RYO","MATSUMOTO","66","Japan","JPN",,"Mixed","Japan","12","4","3","0","7"
"YUKIKO","MITSUI","5","Japan","JPN",,"Master Mixed","Japan","13","7","11","0","18"
"TOMOYA","MIYACHI","1","Japan","JPN",,"Men","Japan","13","10","34","0","44"
"KATSUHIRO","MUROI","37","Japan","JPN",,"GrandMaster Men","Japan","10","0","5","0","5"
"KEIKO","NAGAYAMA","9","Japan","JPN",,"Master Mixed","Japan","13","0","0","0","0"
"Takahiro","Nakamura","9","Japan","JPN",,"Men","Japan","13","2","10","0","12"
"SATOSHI","NOGUCHI","42","Japan","JPN",,"GrandMaster Men","Japan","10","0","2","0","2"
"NORIHIKO","OKAMOTO","3","Japan","JPN",,"GrandMaster Men","Japan","10","1","2","0","3"
"JAMES","PARKER","55","Japan","JPN",,"Men","Japan","13","1","4","0","5"
"AUSTIN GRAHAM","RECTOR","20","Japan","JPN",,"Mixed","Japan","12","5","21","0","26"
"KENTA","SHIINA","5","Japan","JPN",,"Men","Japan","13","2","1","0","3"
"TAKUYA","SUGURI","10","Japan","JPN",,"Master Mixed","Japan","13","10","4","0","14"
"ATSUSHI","SUZUKI","67","Japan","JPN",,"Master Mixed","Japan","13","4","0","0","4"
"TAKASHI","SUZUKI","2","Japan","JPN",,"GrandMaster Men","Japan","3","0","0","0","0"
"DAISHI","TAMBA","32","Japan","JPN",,"Men","Japan","13","11","4","0","15"
"MASAMI","TSUTAZAWA","23","Japan","JPN",,"Master Mixed","Japan","13","10","5","0","15"
"NANAKO","TSUYA","6","Japan","JPN",,"Mixed","Japan","12","3","2","0","5"
"YUSUKE","WAKAI","10","Japan","JPN",,"Men","Japan","13","15","3","0","18"
"ANTHONY","WEISS","98","Japan","JPN",,"Master Mixed","Japan","13","4","4","0","8"
"TORU","YAJIMA","1","Japan","JPN",,"GrandMaster Men","Japan","10","7","28","0","35"
"EISHO","YAMADA","11","Japan","JPN",,"Men","Japan","13","1","5","0","6"
"MASAKI","YAMADA","18","Japan","JPN",,"Men","Japan","13","6","1","0","7"
"ASAKO","YAMAMOTO","99","Japan","JPN",,"Mixed","Japan","12","1","2","0","3"
"HIROSHI","YOKOTA","15","Japan","JPN",,"GrandMaster Men","Japan","10","9","1","0","10"
"KAZUYA","YOSHIMURA","9","Japan","JPN",,"GrandMaster Men","Japan","10","4","0","0","4"
"HIDEKAZU","YOSHITAKE","5","Japan","JPN",,"GrandMaster Men","Japan","10","1","3","0","4"
"Evija","Arste","17","Latvia","LAT",,"Women","Latvia","13","14","3","0","17"
"Dace","Cīrule","21","Latvia","LAT",,"Women","Latvia","13","19","5","0","24"
"Helēna","Dreimane","4","Latvia","LAT",,"Women","Latvia","13","15","9","0","24"
"Linda","Gulbe","18","Latvia","LAT",,"Women","Latvia","13","3","11","0","14"
"Līva","Jakovele","1","Latvia","LAT",,"Women","Latvia","13","5","9","0","14"
"Alina","Kiskurno","3","Latvia","LAT",,"Women","Latvia","13","2","0","0","2"
"Lāsma","Kublicka","8","Latvia","LAT",,"Women","Latvia","13","16","21","0","37"
"Krista","Mierkalne","23","Latvia","LAT",,"Women","Latvia","13","1","0","0","1"
"Santa","Možeika","7","Latvia","LAT",,"Women","Latvia","13","4","10","0","14"
"Alise","Razminoviča","42","Latvia","LAT",,"Women","Latvia","13","7","3","0","10"
"Olga","Salyeva","12","Latvia","LAT",,"Women","Latvia","13","2","6","0","8"
"Sabīne","Šmite","55","Latvia","LAT",,"Women","Latvia","13","11","29","0","40"
"Undīne","Vektere","26","Latvia","LAT",,"Women","Latvia","13","1","1","0","2"
"Elza","Vulfa","49","Latvia","LAT",,"Women","Latvia","13","11","4","0","15"
"Illia","Afifuddin","24","Malaysia","MAS",,"Mixed","Malaysia","12","0","0","0","0"
"Jason","Conrad","29","Malaysia","MAS",,"Mixed","Malaysia","12","16","3","0","19"
"Breanna","Craig","15","Malaysia","MAS",,"Mixed","Malaysia","12","3","2","0","5"
"Kirsten","Craig","12","Malaysia","MAS",,"Mixed","Malaysia","12","1","6","0","7"
"Emily","Hadel","23","Malaysia","MAS",,"Mixed","Malaysia","12","5","9","0","14"
"Jonathan","Hunter","50","Malaysia","MAS",,"Mixed","Malaysia","12","3","2","0","5"
"Yue Shern","Kang","91","Malaysia","MAS",,"Mixed","Malaysia","8","0","1","0","1"
"Soo Thong","Khoo","80","Malaysia","MAS",,"Mixed","Malaysia","12","1","3","0","4"
"Adam","Koon","88","Malaysia","MAS",,"Mixed","Malaysia","12","1","1","0","2"
"Chun","Lee","11","Malaysia","MAS",,"Mixed","Malaysia","12","2","0","0","2"
"Eugene","Lim","7","Malaysia","MAS",,"Mixed","Malaysia","12","1","3","0","4"
"Kia Chun","Lim","9","Malaysia","MAS",,"Mixed","Malaysia","12","3","9","0","12"
"Tze Yuin","Tay","8","Malaysia","MAS",,"Mixed","Malaysia","12","0","0","0","0"
"Gui","Tong","27","Malaysia","MAS",,"Mixed","Malaysia","12","2","1","0","3"
"Sao Yue","Wong","10","Malaysia","MAS",,"Mixed","Malaysia","12","4","2","0","6"
"Alejandro","Burguete Escobar","6","Mexico","MEX",,"Mixed","Mexico","12","0","1","0","1"
"David Alberto","Canepa Talamas","42","Mexico","MEX",,"Mixed","Mexico","12","6","6","0","12"
"Joseph Michael","Collins","1","Mexico","MEX",,"Mixed","Mexico","12","8","9","0","17"
"Irma Raquel","Gomez Serrato","96","Mexico","MEX",,"Mixed","Mexico","12","0","1","0","1"
"Chisa","Katsuki","8","Mexico","MEX",,"Mixed","Mexico","12","0","1","0","1"
"Guillermo","Mitre Anaya","21","Mexico","MEX",,"Mixed","Mexico","12","22","10","0","32"
"Antony","Padilla Mendez","69","Mexico","MEX",,"Mixed","Mexico","12","0","0","0","0"
"Nancy","Ramirez Ino","13","Mexico","MEX",,"Mixed","Mexico","12","5","2","0","7"
"Bogar Isaac","Romero Hernandez","88","Mexico","MEX",,"Mixed","Mexico","12","12","8","0","20"
"Pablo Eduardo","Rueda Mejia","18","Mexico","MEX",,"Mixed","Mexico","12","5","9","0","14"
"Jose Maria Sebastian","Sanchez Saldana","10","Mexico","MEX",,"Mixed","Mexico","12","2","2","0","4"
"Kelsie","Schmit","35","Mexico","MEX",,"Mixed","Mexico","12","2","5","0","7"
"Oscar","Torres","2","Mexico","MEX",,"Mixed","Mexico","12","4","3","0","7"
"Laura","Trolez","23","Mexico","MEX",,"Mixed","Mexico","12","6","11","0","17"
"Daniela","Vargas Leon","91","Mexico","MEX",,"Mixed","Mexico","12","2","5","0","7"
"Tjeerd","Ates","95","Netherlands","NED",,"Men","Netherlands","13","14","19","0","33"
"Maaike","Beld","14","Netherlands","NED",,"Master Women","Netherlands","13","9","16","0","25"
"Stephanie","Bertet","30","Netherlands","NED",,"Master Women","Netherlands","8","0","0","0","0"
"Hilco","Beukema","2","Netherlands","NED",,"Mixed","Netherlands","12","4","1","0","5"
"Carly","Blair","34","Netherlands","NED",,"Master Women","Netherlands","13","21","15","0","36"
"Jesse","Bloemendaal","5","Netherlands","NED",,"Men","Netherlands","11","6","4","0","10"
"Marieke","Buijs","8","Netherlands","NED",,"Mixed","Netherlands","12","16","7","0","23"
"Galen","Campbell","7","Netherlands","NED",,"Men","Netherlands","13","16","6","0","22"
"Jeroen","de Jong","21","Netherlands","NED",,"Master Men","Netherlands","12","5","12","0","17"
"Basten","de Jongh","2","Netherlands","NED",,"Men","Netherlands","13","5","10","0","15"
"Hinderik","de Keijzer","17","Netherlands","NED",,"Master Men","Netherlands","12","7","4","0","11"
"Hylke","de Vries","14","Netherlands","NED",,"Master Men","Netherlands","12","21","1","0","22"
"Suzanne","Delwel","3","Netherlands","NED",,"Master Women","Netherlands","13","10","8","0","18"
"Jasper","Derikx","37","Netherlands","NED",,"Men","Netherlands","13","0","8","0","8"
"Erik","Doesburg","35","Netherlands","NED",,"Men","Netherlands","13","12","19","0","31"
"Dan","Eppstein","10","Netherlands","NED",,"Mixed","Netherlands","12","10","7","0","17"
"Renate","Feringa","37","Netherlands","NED",,"Master Women","Netherlands","13","2","10","0","12"
"Arnoud","Garrelts","78","Netherlands","NED",,"Master Men","Netherlands","12","5","20","0","25"
"Sarah","Harrison","66","Netherlands","NED",,"Mixed","Netherlands","5","0","1","0","1"
"Juha","Hijmans","55","Netherlands","NED",,"Master Men","Netherlands","11","5","6","0","11"
"Tessel","Hillenius","47","Netherlands","NED",,"Master Women","Netherlands","13","20","1","0","21"
"Rixt","Hofman","4","Netherlands","NED",,"Master Women","Netherlands","13","10","4","0","14"
"Oscar","Hollander","18","Netherlands","NED",,"Master Men","Netherlands","12","4","11","0","15"
"Inger","Janssen","4","Netherlands","NED",,"Mixed","Netherlands","12","1","8","0","9"
"Erwan","Jounault","23","Netherlands","NED",,"Master Men","Netherlands","12","7","8","0","15"
"Lisa","Kouwenberg","27","Netherlands","NED",,"Mixed","Netherlands","12","5","1","0","6"
"Sanne","Leufkens","24","Netherlands","NED",,"Mixed","Netherlands","12","6","8","0","14"
"Hans","Lommen","68","Netherlands","NED",,"Men","Netherlands","13","23","3","0","26"
"Martin","Louwe","11","Netherlands","NED",,"Master Men","Netherlands","12","9","3","0","12"
"Jesse","Meijers","4","Netherlands","NED",,"Men","Netherlands","13","13","7","0","20"
"Joram","Mossink","22","Netherlands","NED",,"Mixed","Netherlands","12","16","9","0","25"
"Jolien","Munsterhuis","2","Netherlands","NED",,"Master Women","Netherlands","13","3","36","0","39"
"Jeroen","Oort","12","Netherlands","NED",,"Master Men","Netherlands","12","13","2","0","15"
"Frans","Passchier","8","Netherlands","NED",,"Master Men","Netherlands","8","5","5","0","10"
"Rogier","Postma","81","Netherlands","NED",,"Mixed","Netherlands","12","8","6","0","14"
"Koop","Reynders","7","Netherlands","NED",,"Master Men","Netherlands","12","4","7","0","11"
"Jankees","Ruizeveld","22","Netherlands","NED",,"Master Men","Netherlands","12","12","22","0","34"
"Foeke","Schaap","17","Netherlands","NED",,"Men","Netherlands","13","11","20","0","31"
"Linda","Schipper","17","Netherlands","NED",,"Master Women","Netherlands","13","5","8","0","13"
"David","Sparks","86","Netherlands","NED",,"Mixed","Netherlands","12","7","8","0","15"
"Bram","Steenhuisen","8","Netherlands","NED",,"Men","Netherlands","13","2","11","0","13"
"Jon","Stoltzfus","19","Netherlands","NED",,"Mixed","Netherlands","12","10","8","0","18"
"Jurre","Tanja","28","Netherlands","NED",,"Men","Netherlands","13","4","3","0","7"
"Bram","Ter Brake","33","Netherlands","NED",,"Master Men","Netherlands","12","9","4","0","13"
"Tim","van de Wiel","2","Netherlands","NED",,"Master Men","Netherlands","12","5","4","0","9"
"Adriaan","van der Lely","13","Netherlands","NED",,"Master Men","Netherlands","12","4","6","0","10"
"Justine","van der Meulen","34","Netherlands","NED",,"Mixed","Netherlands","12","6","17","0","23"
"Lawko","van der Weiden","53","Netherlands","NED",,"Men","Netherlands","12","16","5","0","21"
"Eelke","van Foeken","21","Netherlands","NED",,"Mixed","Netherlands","12","7","10","0","17"
"Sylvia","Van Nierop","46","Netherlands","NED",,"Master Women","Netherlands","11","5","5","0","10"
"Tim","van Ommen","79","Netherlands","NED",,"Mixed","Netherlands","12","10","9","0","19"
"Nicolette","Verheem","50","Netherlands","NED",,"Master Women","Netherlands","9","7","0","0","7"
"Paul","Walczak","42","Netherlands","NED",,"Men","Netherlands","13","6","13","0","19"
"Yvonne","Wattez","89","Netherlands","NED",,"Mixed","Netherlands","12","2","8","0","10"
"Jannine","Wysmuller","9","Netherlands","NED",,"Master Women","Netherlands","13","2","2","0","4"
"Yulia","Yusifli","33","Netherlands","NED",,"Master Women","Netherlands","13","24","4","0","28"
"Gitta","Zaeschke","8","Netherlands","NED",,"Master Women","Netherlands","13","1","11","0","12"
"Daniel","Aldridge","44","New Zealand","NZL",,"Men","New Zealand","13","4","10","0","14"
"Josh","Broughton","3","New Zealand","NZL",,"Men","New Zealand","13","8","5","0","13"
"Ben","Callaghan","22","New Zealand","NZL",,"Men","New Zealand","13","0","6","0","6"
"Emily","Camuso","38","New Zealand","NZL",,"Mixed","New Zealand","12","7","2","0","9"
"Chris","Carr","21","New Zealand","NZL",,"Mixed","New Zealand","12","11","5","0","16"
"Kelly","Carter","80","New Zealand","NZL",,"Mixed","New Zealand","12","6","0","0","6"
"Ben","Davies","20","New Zealand","NZL",,"Mixed","New Zealand","12","12","33","0","45"
"Richard","Fernando","54","New Zealand","NZL",,"Men","New Zealand","13","7","15","0","22"
"Tom","Fraser","9","New Zealand","NZL",,"Mixed","New Zealand","12","16","8","0","24"
"Hamish","Gibson","87","New Zealand","NZL",,"Men","New Zealand","13","17","5","0","22"
"Rhys","Hearne","14","New Zealand","NZL",,"Men","New Zealand","13","6","3","0","9"
"Em","Hodgson","68","New Zealand","NZL",,"Men","New Zealand","13","33","25","0","58"
"Aidan","Hurley","10","New Zealand","NZL",,"Men","New Zealand","13","9","18","0","27"
"Marius","Hutcheson","0","New Zealand","NZL",,"Men","New Zealand","10","10","1","0","11"
"Morgan","Jones","77","New Zealand","NZL",,"Mixed","New Zealand","12","1","7","0","8"
"Esther","Liong","15","New Zealand","NZL",,"Mixed","New Zealand","12","3","12","0","15"
"Justin","Mallen","12","New Zealand","NZL",,"Men","New Zealand","11","3","4","0","7"
"Matthew","McCullogh","11","New Zealand","NZL",,"Mixed","New Zealand","12","10","11","0","21"
"Marah","Neal","13","New Zealand","NZL",,"Mixed","New Zealand","12","23","8","0","31"
"Nick","Pannu","27","New Zealand","NZL",,"Men","New Zealand","13","9","5","0","14"
"Philip","Renich","29","New Zealand","NZL",,"Mixed","New Zealand","12","1","2","0","3"
"Rachael","Siohane-Royle","27","New Zealand","NZL",,"Mixed","New Zealand","12","1","7","0","8"
"Daniel","Thornton","28","New Zealand","NZL",,"Mixed","New Zealand","12","4","1","0","5"
"Tom","White","5","New Zealand","NZL",,"Men","New Zealand","13","13","22","0","35"
"Natasha","Won","24","New Zealand","NZL",,"Mixed","New Zealand","12","9","8","0","17"
"Rechelle","Abuda","12","Philippines","PHI",,"Mixed","Philippines","12","2","10","0","12"
"Cynthia","Arce","22","Philippines","PHI",,"Master Women","Philippines","13","0","1","0","1"
"Gay Nanette","Batralo","16","Philippines","PHI",,"Master Women","Philippines","13","2","0","0","2"
"Maria Renita","Canafranca","7","Philippines","PHI",,"Master Women","Philippines","13","0","1","0","1"
"Vergil Nelson","Cañedo","5","Philippines","PHI",,"Mixed","Philippines","12","5","5","0","10"
"Leilani","Carino","4","Philippines","PHI",,"Master Women","Philippines","13","4","1","0","5"
"Batibut","Cuyugan","9","Philippines","PHI",,"Master Women","Philippines","2","0","0","0","0"
"Kenneth","De Guzman","59","Philippines","PHI",,"Men","Philippines","14","2","0","0","2"
"Jeff","De La Cerna","15","Philippines","PHI",,"Men","Philippines","14","5","13","0","18"
"Michelle","De Los Santos","53","Philippines","PHI",,"Men","Philippines","14","11","12","0","23"
"Maryviel","Dublin","3","Philippines","PHI",,"Mixed","Philippines","12","11","14","0","25"
"Dominick","Famorcan","2","Philippines","PHI",,"Men","Philippines","14","13","3","0","16"
"Junthir","Flores","6","Philippines","PHI",,"Mixed","Philippines","12","15","5","0","20"
"Antonio","Francisco","18","Philippines","PHI",,"Mixed","Philippines","12","30","5","0","35"
"Hubberth Kristian","Guerrero","3","Philippines","PHI",,"Men","Philippines","14","27","10","0","37"
"Jenny","Jara","3","Philippines","PHI",,"Master Women","Philippines","13","5","3","0","8"
"Kevin Michael","Kelly","26","Philippines","PHI",,"Men","Philippines","14","8","6","0","14"
"Christine","Klotz","17","Philippines","PHI",,"Master Women","Philippines","7","0","2","0","2"
"Jose Miguel","Leechiu","56","Philippines","PHI",,"Men","Philippines","14","7","11","0","18"
"David III","Libo-on","13","Philippines","PHI",,"Men","Philippines","14","6","4","0","10"
"Antonio Jr.","Lopez","0","Philippines","PHI",,"Men","Philippines","14","2","5","0","7"
"Maria Roxanne","Lu","8","Philippines","PHI",,"Master Women","Philippines","13","2","3","0","5"
"Hendrix","Maming","27","Philippines","PHI",,"Mixed","Philippines","12","3","1","0","4"
"Chloris Elodine","Manguerra","21","Philippines","PHI",,"Mixed","Philippines","12","1","4","0","5"
"Paul Richie","Mariano","30","Philippines","PHI",,"Mixed","Philippines","12","8","18","0","26"
"Charlotte Kate","Mercer","81","Philippines","PHI",,"Mixed","Philippines","12","5","13","0","18"
"Jordan","Miraflez","45","Philippines","PHI",,"Men","Philippines","14","7","14","0","21"
"Jeffson","Ong","0","Philippines","PHI",,"Mixed","Philippines","12","9","2","0","11"
"Renante Jr.","Onlayao","11","Philippines","PHI",,"Mixed","Philippines","12","30","16","0","46"
"Kevin Jeffrey","Pascua","39","Philippines","PHI",,"Men","Philippines","14","24","20","0","44"
"Jose Antonio","Pasgina","44","Philippines","PHI",,"Men","Philippines","14","16","12","0","28"
"Derek","Ramsay","11","Philippines","PHI",,"Men","Philippines","14","11","12","0","23"
"Chelsea Janlouis","Reyes","9","Philippines","PHI",,"Mixed","Philippines","12","7","15","0","22"
"Jeffrey","Rodriquez","6","Philippines","PHI",,"Men","Philippines","14","11","13","0","24"
"Sophie","Sacapano","1","Philippines","PHI",,"Master Women","Philippines","13","5","4","0","9"
"Maricel","Salas","11","Philippines","PHI",,"Master Women","Philippines","13","2","2","0","4"
"Denise Dianne","Tabije","13","Philippines","PHI",,"Master Women","Philippines","13","1","4","0","5"
"Jean","Tuvilla","13","Philippines","PHI",,"Mixed","Philippines","12","5","24","0","29"
"Quinjune","Villanueva","66","Philippines","PHI",,"Men","Philippines","14","11","26","0","37"
"Benjamin","Yap","15","Philippines","PHI",,"Mixed","Philippines","12","1","2","0","3"
"James","Yap","7","Philippines","PHI",,"Mixed","Philippines","12","2","0","0","2"
"Zibi","Braniecki","8","Poland","POL",,"Men","Poland","13","6","7","0","13"
"Michał","Dul","33","Poland","POL",,"Mixed","Poland","12","12","3","0","15"
"Mateusz","Dyda","36","Poland","POL",,"Men","Poland","13","10","5","0","15"
"Dawid","Ekonjo","18","Poland","POL",,"Men","Poland","13","3","14","0","17"
"Dagny","Gorostiza","7","Poland","POL",,"Mixed","Poland","12","3","3","0","6"
"Marcin","Goss","5","Poland","POL",,"Men","Poland","13","13","6","0","19"
"Andrzej","Holnicki","10","Poland","POL",,"Men","Poland","13","5","3","0","8"
"Marc Michael","Huber","30","Poland","POL",,"Men","Poland","13","13","12","0","25"
"Mateusz","Kosmalski","95","Poland","POL",,"Men","Poland","13","2","9","0","11"
"Emanuel","Kołata","77","Poland","POL",,"Mixed","Poland","12","6","18","0","24"
"Jan","Madej","11","Poland","POL",,"Men","Poland","13","6","3","0","9"
"Antoni","Moroz","2","Poland","POL",,"Mixed","Poland","12","3","3","0","6"
"Albert","Nowakowski","73","Poland","POL",,"Mixed","Poland","12","2","20","0","22"
"Kacper","Podgajny","9","Poland","POL",,"Men","Poland","13","7","8","0","15"
"Chris","Prosser","23","Poland","POL",,"Men","Poland","13","11","3","0","14"
"Jan","Staniewicz","12","Poland","POL",,"Mixed","Poland","12","8","9","0","17"
"Sławomir","Stankowski","44","Poland","POL",,"Mixed","Poland","12","4","5","0","9"
"Maria","Stryukova","8","Poland","POL",,"Mixed","Poland","12","1","9","0","10"
"Stanisław","Stupkiewicz","21","Poland","POL",,"Men","Poland","13","9","3","0","12"
"Adam","Tomczyk","21","Poland","POL",,"Mixed","Poland","10","10","1","0","11"
"Dariusz","Urbanik","9","Poland","POL",,"Mixed","Poland","11","20","7","0","27"
"Rafał","Witczak","17","Poland","POL",,"Men","Poland","13","0","11","0","11"
"Jakub","Wróbel","15","Poland","POL",,"Men","Poland","13","5","1","0","6"
"Julia","Wrzosińska","25","Poland","POL",,"Mixed","Poland","9","8","0","0","8"
"Anna","Zachara","19","Poland","POL",,"Mixed","Poland","12","4","1","0","5"
"Monika","Zaczkowska","6","Poland","POL",,"Mixed","Poland","12","9","12","0","21"
"Krzysztof","Zając","12","Poland","POL",,"Men","Poland","2","0","0","0","0"
"Tomasz","Zatoń","83","Poland","POL",,"Men","Poland","13","11","16","0","27"
"Dani","Bodor","22","Portugal","POR",,"Mixed","Portugal","12","7","7","0","14"
"Inês","Bringel","7","Portugal","POR",,"Mixed","Portugal","12","14","5","0","19"
"Kendall","Ferreira","17","Portugal","POR",,"Mixed","Portugal","12","6","6","0","12"
"Sébastien","Lacroix","3","Portugal","POR",,"Mixed","Portugal","12","12","4","0","16"
"João","Lopes","10","Portugal","POR",,"Mixed","Portugal","12","10","17","0","27"
"Miguel","Martins","96","Portugal","POR",,"Mixed","Portugal","12","0","11","0","11"
"Verónica","Neves","86","Portugal","POR",,"Mixed","Portugal","12","4","1","0","5"
"Sophie","Nicholls","31","Portugal","POR",,"Mixed","Portugal","12","1","0","0","1"
"Mike","Palmer","11","Portugal","POR",,"Mixed","Portugal","7","7","3","0","10"
"Ricardo","Patrão","77","Portugal","POR",,"Mixed","Portugal","12","8","14","0","22"
"David","Pimenta","24","Portugal","POR",,"Mixed","Portugal","12","4","28","0","32"
"Ana","Pires","6","Portugal","POR",,"Mixed","Portugal","12","0","2","0","2"
"Andrew","Roy","32","Portugal","POR",,"Mixed","Portugal","12","7","1","0","8"
"Filipa","Vargas","8","Portugal","POR",,"Mixed","Portugal","12","6","5","0","11"
"Pedro","Vargas","13","Portugal","POR",,"Mixed","Portugal","12","23","5","0","28"
"Thomas","Capranica","87","Republic of Korea","KOR",,"Mixed","Republic of Korea","8","8","15","0","23"
"Sunhwa","Chang","18","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","0","2","0","2"
"Brice","Dixon","6","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","19","16","0","35"
"Hilary","Dumas","83","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","1","3","0","4"
"Saeromi","Hong","0","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","2","0","0","2"
"Hyunju","Kim","3","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","1","2","0","3"
"Jimin","Kim","11","Republic of Korea","KOR",,"Mixed","Republic of Korea","9","0","1","0","1"
"Jaehyun","Lee","5","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","6","2","0","8"
"Siyoung (Kathy)","Lee","17","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","1","4","0","5"
"Yonghun","Lee","55","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","1","2","0","3"
"Tyler","Nelson","10","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","5","12","0","17"
"Madeline","Stephenson","14","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","22","4","0","26"
"Ben","Tanaka","19","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","5","0","0","5"
"Oliver","Votteler","8","Republic of Korea","KOR",,"Mixed","Republic of Korea","10","7","11","0","18"
"Nicholas","Whale","22","Republic of Korea","KOR",,"Mixed","Republic of Korea","12","13","18","0","31"
"Yuliya","Akramova","27","Russia","RUS",,"Women","Russia","13","3","13","0","16"
"Virge","Andre","17","Russia","RUS",,"Women","Russia","13","2","7","0","9"
"Pavel","Arhipov","10","Russia","RUS",,"Men","Russia","13","1","12","0","13"
"Pavel","Averin","30","Russia","RUS",,"Men","Russia","13","4","5","0","9"
"Ekaterina","Badiagina","19","Russia","RUS",,"Women","Russia","13","1","5","0","6"
"Konstantin","Basos","29","Russia","RUS",,"Men","Russia","13","4","3","0","7"
"Boris","Bleze","13","Russia","RUS",,"Master Men","Russia","12","0","4","0","4"
"Anton","Butikov","1","Russia","RUS",,"Men","Russia","13","34","7","0","41"
"Ilya","Dannenberg","19","Russia","RUS",,"Men","Russia","13","20","17","0","37"
"Dina","Dumanskaia","44","Russia","RUS",,"Women","Russia","13","21","3","0","24"
"Nikolay","Eliseev","4","Russia","RUS",,"Mixed","Russia","12","10","7","0","17"
"Pavel","Eremin","10","Russia","RUS",,"Mixed","Russia","12","12","1","0","13"
"Ilya","Glinin","7","Russia","RUS",,"Master Men","Russia","12","3","1","0","4"
"Vladimir","Ivanov","9","Russia","RUS",,"Men","Russia","13","5","3","0","8"
"Alina","Kagan","88","Russia","RUS",,"Mixed","Russia","12","6","4","0","10"
"Mikhail","Khudobin","15","Russia","RUS",,"Men","Russia","13","3","29","0","32"
"Anton","Kisliy","6","Russia","RUS",,"Mixed","Russia","12","10","10","0","20"
"ANASTASIIA","KOCHENOVA","21","Russia","RUS",,"Women","Russia","13","3","6","0","9"
"Vladimir","Kochkin","7","Russia","RUS",,"Men","Russia","13","13","3","0","16"
